Id,Serien NR,Typ,Firma,Art
1,030A030400,Genelec 1030A,Monitore,Geräte,0,,,x,,,x,,,,
2,HdK1,Multicore 16,Multicores,Kabel,0,,,x,,x,x,,,,
3,NULL,Cordial Multicore 24+4,Multicores,Kabel,0,,,x,,,x,,,,
4,HdK2,Multicore 16,Multicores,Kabel,0,,,x,,x,x,,,,
5,190811,DA 30,Recorder,Geräte,0,,,x,Verkauft 2010,,,,,,
6,NULL,Multicore 14+2,Multicores,Kabel,1,,,x,KS-Schrank,,x,Auflösung fehlt,,,
7,NULL,Messlatte,Sonstiges,Zubehör,0,,,x,,x,x,,,,
8,NULL,Multicore 7,Multicores,Kabel,0,,,x,,,x,,,,
9,(21)JS21013,Mackie Onyx 1640,Pulte,Geräte,0,,,x,,x,x,,,,
10,(21)JS20989,Mackie Onyx 1640,Pulte,Geräte,0,,,x,,x,x,,,,
11,0030480,Tascam SS-R1,Recorder,Geräte,0,,,x,,x,x,,,,
12,NULL,Stereoschiene klein,Stereoschienen,Zubehör,0,,,x,,x,x,,,,
13,190802,DA 30,Recorder,Geräte,0,,,x,,,,,,,
14,21108,TDIF/ADAT-Converter,Converter,Geräte,0,,,x,,x,x,,,,
15,NULL,Mikro-Koffer,Sonstiges,Zubehör,0,,,x,,,,Barcode erneuern,,,
16,NULL,Mikro-Koffer,Sonstiges,Zubehör,0,,,x,,,,Barcode erneuern,,,
17,FF800: 23030384; OctaMic1: 22776426; OctaMic2: 23028000,RME-Kit,Recorder,Geräte,0,,,,,x,x,,,,
18,A136654,Mackie 1604,Pulte,Geräte,0,,,x,,x,x,,,,
19,D131025,Mackie 1202,Pulte,Geräte,0,,,x,,x,x,,,,
20,NULL,230V-Trommel,230V,Kabel,0,,,x,,,nicht gecheckt,,,,
21,NULL,8er Stagebox 10m m. Koffer,Multicores,Kabel,0,,,x,,x,x,,,,
22,NULL,8er Stagebox 10m m. Koffer,Multicores,Kabel,0,,,x,,,,,,,
23,L0198-5615,PCM 90,Effektgeräte,Geräte,0,,,x,,x,x,zu Peter,,,
24,A136928,Mackie 1604,Pulte,Geräte,0,,,x,,x,x,,,,
25,NULL,Mikro-Koffer,Sonstiges,Zubehör,0,,,x,,,,Barcode erneuern,,,
26,NULL,Mikro-Koffer,Sonstiges,Zubehör,0,,,x,,,,Barcode erneuern,,,
27,NULL,Mikro-Koffer,Sonstiges,Zubehör,0,,,x,,,,Barcode erneuern,,,
28,NULL,Poppschutz,Sonstiges,Zubehör,0,,,x,,x,x,,,,
29,NULL,Poppschutz,Sonstiges,Zubehör,0,,,x,,x,x,,,,
30,NULL,Poppschutz,Sonstiges,Zubehör,0,,,x,,,x,,,,
31,NULL,Stativ klein,Stative,Zubehör,0,,,x,,,,,,,
32,NULL,Manfrotto 1m,Stereoschienen,Zubehör,0,,,x,,x,x,,,,
33,190405,DA 30,Recorder,Geräte,0,,,x,,x,x,,,,
34,NULL,Multicore 16+4,Multicores,Kabel,0,,,x,,x,x,,,,
35,8P20002469,RME ADI-8 Pro,Converter,Geräte,0,,,x,,x,x,,,,
36,130372,DA 30,Recorder,Geräte,0,,,x,,,,,,,
37,260832,DA 30,Recorder,Geräte,0,,,x,,x,x,,,,
38,11213,Digital Meter Unit,Sony,Geräte,0,,,x,,x,x,,,,
40,HK01011,SPX1000,Effektgeräte,Geräte,0,,,x,,,,,,,
41,HH01028,SPX1000,Effektgeräte,Geräte,0,,,x,,x,x,,,,
42,70-3394,PCM 70,Effektgeräte,Geräte,0,,,x,,x,x,,,,
43,NULL,U 89-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
44,NULL,U 87-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
45,NULL,U 89-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
46,NULL,Neumann-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
47,NULL,Neumann-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
48,NULL,6er-Steckdose,230V,Kabel,0,,,x,,,nicht gecheckt,,,,
49,NULL,230V-Verlängerung,230V,Kabel,0,,,,,,nicht gecheckt,,,,
50,NULL,Alu-Transportkiste,Sonstiges,Zubehör,0,,,,,x,x,,,,
51,NULL,Galgen groß,Stative,Zubehör,0,,,,,,x,,,,
52,NULL,Neumann-Spinne,Spinnen,Zubehör,0,,,x,,,,Adminschrank-> Verkauf,,,
53,S08BJ1FLC40124 (Samsung),250 GB HDD extern,Recorder,Geräte,0,,,,,,,,,,
54,Y627AYAE,200 GB HDD extern,Recorder,Geräte,0,,,,,,,,,,
55,(21) ET12512,Mackie SDR 24/96,Recorder,Geräte,1,,,x,In KS-Schrank und als defekt verkaufen (inkl. 2Platten),,,,,,
56,(LT)0502C000037,Presonus Digimax LT,Vorverstärker,Geräte,0,,,x,,x,x,,,,
57,NULL,Neumann-Spinne,Spinnen,Zubehör,0,,,,,,,Adminschrank-> Verkauf,,,
58,N0210106187,Ultragain Pro-8,Vorverstärker,Geräte,0,,,x,,x,x,,,,
59,1611948SN,Fostex 6301B,Monitore,Geräte,0,,,x,,x,x,,,,
60,3147129061 & 3177135374,Klein&Hummel O110 (Paar),Monitore,Geräte,0,,,x,,x,x,,,,
61,(21)A10611048708236,Alesis HD24,Recorder,Geräte,0,,,x,,x,x,Eine Platte fehlt!,,,
62,NULL,6x Klinke-Klinke sy.,Peitschen,Kabel,1,,,,diverse Kanäle sind kaputt - Müll?,,,,,,
63,8P20002468,RME ADI-8 Pro,Converter,Geräte,0,,,x,,x,x,,,,
64,NULL,HD 25-13,Kopfhörer,Zubehör,0,,,x,,,,,,,
65,NULL,HD 25-13,Kopfhörer,Zubehör,1,,,,???,,,,,,
66,NULL,HD 25-13,Kopfhörer,Zubehör,0,,,x,,,,,,,
67,NULL,HD 25-13,Kopfhörer,Zubehör,0,,,x,,,,,,,
68,NULL,HD 280 Pro,Kopfhörer,Zubehör,0,,,,,,,,,,
69,NULL,HD 280 Pro,Kopfhörer,Zubehör,0,,,,,,x,,,,
70,NULL,HD 280 Pro,Kopfhörer,Zubehör,0,,,,,,,,,,
71,NULL,HD 280 Pro,Kopfhörer,Zubehör,0,,,x,,x,x,,,,
72,NULL,K240,Kopfhörer,Zubehör,0,,,x,,x,x,,,,
73,8P20002467,RME ADI-8 Pro,Converter,Geräte,0,,,x,fehlt seit Anfang 2009,,x,,,,
74,NULL,K240,Kopfhörer,Zubehör,0,,,x,,x,,,,,
75,10846,Netzteil U 67,Netzteile,Zubehör,0,,,x,,x,nicht gecheckt,,,,
76,10845,Netzteil U 67,Netzteile,Zubehör,0,,,x,,x,nicht gecheckt,,,,
77,965,Netzteil KM5x,Netzteile,Zubehör,0,,,x,,x,nicht gecheckt,,,,
78,1513,Netzteil KM5x,Netzteile,Zubehör,0,,,x,,x,nicht gecheckt,,,,
79,NULL,Poppschutz,Sonstiges,Zubehör,0,,,x,neu: 10.3.2009,x,x,,,,
80,NULL,Poppschutz,Sonstiges,Zubehör,0,,,x,,x,x,,,,
81,1611047SN,Fostex 6301B,Monitore,Geräte,0,,,x,,x,x,,,,
82,NULL,HD 25 SP1,Kopfhörer,Zubehör,1,,,,???,,,,,,
83,NULL,HD 25 SP1,Kopfhörer,Zubehör,0,,,,,,,,,,
84,NULL,Poppschutz,Sonstiges,Zubehör,0,,,,neu: 10.3.2009,,,,,,
85,NULL,HD 25 SP1,Kopfhörer,Zubehör,0,,,,,x,,,,,
86,NULL,HD 25 SP1,Kopfhörer,Zubehör,1,,,,???,,,,,,
87,NULL,HD 25 SP1,Kopfhörer,Zubehör,0,,,x,,x,,,,,
88,NULL,HD 25 SP1,Kopfhörer,Zubehör,0,,,x,,x,,,,,
89,NULL,Poppschutz,Sonstiges,Zubehör,0,,,,neu: 10.3.2009,x,x,,,,
90,NULL,Poppschutz,Sonstiges,Zubehör,0,,,x,,,,,,,
91,38,Netzteil KM5x,Netzteile,Zubehör,0,,,x,,x,nicht gecheckt,,,,
92,39,Netzteil KM5x,Netzteile,Zubehör,1,,,x,bei Peter,x,nicht gecheckt,,,,
93,1168,Netzteil U 67,Netzteile,Zubehör,0,,,x,,x,nicht gecheckt,,,,
94,EAQI01017,Mischpult 01V96,Pulte,Geräte,0,,,,,x,x,,,,
95,NULL,Regie-Kabelbaum,Zubehör,Kabel,0,,,,,,,,,,
96,NULL,Stereoschiene Gefell,Stereoschienen,Zubehör,0,,,x,,x,x,,,,
97,NULL,Poppschutz,Sonstiges,Zubehör,0,,,x,neu: 10.3.2009,x,x,,,,
98,42,Netzteil KM5x,Netzteile,Zubehör,0,,,x,,,nicht gecheckt,,,,
99,NULL,Poppschutz,Sonstiges,Zubehör,0,,,x,neu: 10.3.2009,x,x,,,,
100,NULL,DI-Box grau,DI-Boxen,Zubehör,0,,,x,,x,x,,,,
101,(21) A10808048711722,Alesis HD24,Recorder,Geräte,0,,,x,,x,x,Barcode erneuern! ,,,
102,NULL,StereoschieneSchoeps,Stereoschienen,Zubehör,0,,,,,,,,,,
103,NULL,Alu-Transportkiste,Sonstiges,Zubehör,0,,,,,x,x,,,,
104,NULL,Alu-Transportkiste,Sonstiges,Zubehör,0,,,,,x,x,,,,
105,NULL,Alu-Transportkiste,Sonstiges,Zubehör,0,,,,,x,x,,,,
