alte Barcodes,Seriennummer,Gerät,Typ,Art,Defekt,vorhanden,Bemerkungen
000001,030A030400,Genelec 1030A,Monitore,Geräte,0,x,
000002,HdK1,Multicore 16,Multicores,Kabel,0,x,
000003,NULL,Cordial Multicore 24+4,Multicores,Kabel,0,x,
000004,HdK2,Multicore 16,Multicores,Kabel,0,x,
000005,190811,DA 30,Recorder,Geräte,0,,
000006,NULL,Multicore 14+2,Multicores,Kabel,1,x,
000007,NULL,Messlatte,Sonstiges,Zubehör,0,x,
000008,NULL,Multicore 7,Multicores,Kabel,0,x,
000009,(21)JS21013,Mackie Onyx 1640,Pulte,Geräte,0,x,
000010,(21)JS20989,Mackie Onyx 1640,Pulte,Geräte,0,x,
000011,0030480,Tascam SS-R1,Recorder,Geräte,0,x,
000014,21108,TDIF/ADAT-Converter,Converter,Geräte,0,x,
000017,FF800: 23030384; OctaMic1: 22776426; OctaMic2: 23028000,RME-Kit,Recorder,Geräte,0,x,
000018,A136654,Mackie 1604,Pulte,Geräte,0,x,
000019,D131025,Mackie 1202,Pulte,Geräte,0,x,
000020,NULL,230V-Trommel,230V,Kabel,0,x,
000021,NULL,8er Stagebox 10m m. Koffer,Multicores,Kabel,0,x,
000022,NULL,8er Stagebox 10m m. Koffer,Multicores,Kabel,0,x,
000023,L0198-5615,PCM 90,Effektgeräte,Geräte,0,x,
000024,A136928,Mackie 1604,Pulte,Geräte,0,x,
000028,NULL,Poppschutz,Sonstiges,Zubehör,0,x,
000029,NULL,Poppschutz,Sonstiges,Zubehör,0,x,
000032,NULL,Manfrotto 1m,Stereoschienen,Zubehör,0,x,
000033,190405,DA 30,Recorder,Geräte,0,x,
000034,NULL,Multicore 16+4,Multicores,Kabel,0,,
000035,8P20002469,RME ADI-8 Pro,Converter,Geräte,0,x,
000037,260832,DA 30,Recorder,Geräte,0,x,
000038,11213,Digital Meter Unit,Sony,Geräte,0,x,
000041,HH01028,SPX1000,Effektgeräte,Geräte,0,x,
000042,70-3394,PCM 70,Effektgeräte,Geräte,0,x,
000055,(21) ET12512,Mackie SDR 24/96,Recorder,Geräte,1,,
000056,(LT)0502C000037,Presonus Digimax LT,Vorverstärker,Geräte,0,x,
000058,N0210106187,Ultragain Pro-8,Vorverstärker,Geräte,0,x,
000059,1611948SN,Fostex 6301B,Monitore,Geräte,0,x,
000060,3147129061 & 3177135374,Klein&Hummel O110 (Paar),Monitore,Geräte,0,x,
000061,(21)A10611048708236,Alesis HD24,Recorder,Geräte,0,,
000063,8P20002468,RME ADI-8 Pro,Converter,Geräte,0,x,
000071,NULL,HD 280 Pro,Kopfhörer,Zubehör,0,x,
000072,NULL,K240,Kopfhörer,Zubehör,0,x,
000073,8P20002467,RME ADI-8 Pro,Converter,Geräte,0,x,
000074,NULL,K 240,Kopfhörer,Zubehör,0,x,
000076,10845,Netzteil U 67,Netzteile,Zubehör,0,x,
000077,965,Netzteil KM5x,Netzteile,Zubehör,0,x,
000078,1513,Netzteil KM5x,Netzteile,Zubehör,0,x,
000080,NULL,Poppschutz,Sonstiges,Zubehör,0,x,
000081,1611047SN,Fostex 6301B,Monitore,Geräte,0,,
